##software,lang,arch,versite,versionregex,dlsite,dlregex,current_version,onlycheck
Defraggler,multi,multi,https://www.piriform.com/defraggler/download, +v([\d\.]+),https://www.piriform.com/defraggler/download/standard,<a.*?href="([^"]*\.exe)".*?>,2.19.982
Defraggler portable,multi,multi,https://www.piriform.com/defraggler/download, +v([\d\.]+),https://www.piriform.com/defraggler/download/portable,<a.*?href="([^"]*downloadfile)".*?>,2.19.982
Dropbox,de,x86,https://www.dropbox.com/release_notes,<div.*?class="[^"]*? release_build_([\d\.]*) release_type_stable,https://www.dropbox.com/downloading?plat=win&type=full,<a href="(/download[^"]*)">,3.10.9
#Everything,multi,x86,http://www.voidtools.com/downloads/,<a.*?href="[^"]*Everything-([\d\.]*).x86.Multilingual-Setup.exe".*?>,http://www.voidtools.com/downloads/,<a.*?href="([^"]*Everything-[\d\.]*.x86.Multilingual-Setup.exe)".*?>,1.3.4.686
Everything,multi,x64,http://www.voidtools.com/downloads/,<a.*?href="[^"]*Everything-([\d\.]*).x64.Multilingual-Setup.exe".*?>,http://www.voidtools.com/downloads/,<a.*?href="([^"]*Everything-[\d\.]*.x64.Multilingual-Setup.exe)".*?>,1.3.4.686
FastStone Image Viewer,en,x86,http://www.faststone.org/FSViewerDownload.htm,>FastStone Image Viewer ([\d\.]*),http://www.faststone.org/FSViewerDownload.htm,<a href="([^"]*FSViewerSetup.*?.exe)">,5.5
#FEFLOW,en,x86,http://www.mikepoweredbydhi.com/download/mike-by-dhi-2014/feflow,Feflow-([\d\.]*)-x64-en-Setup\.exe,,,6.2.6208,yes
FEFLOW,en,x64,http://www.mikepoweredbydhi.com/download/mike-by-dhi-2014/feflow,Feflow-([\d\.]*)-x86-en-Setup\.exe,,,6.2.6211,yes
#FEFLOW Demo Data,en,x86,http://www.feflow.com/download.html,'<a.*?href=\''.*?FeflowDemo-([\d\.]*)-x64-en-Compact.exe\''',http://www.feflow.com/download.html,'<a.*?href=\''(download/FEFLOW/windows/FeflowDemo.*?FeflowDemo-[\d\.]*-x86-en-Compact.exe)\''',6.2.6200
GOM Media Player,en,x86,http://player.gomlab.com/notice.gom,GOM Media Player ([\d\.]*) released,,,2.2.71.5231,yes
GPS Utility,en,x86,http://www.gpsu.co.uk/download.html,'Version ([\d\.]*), Released',http://www.gpsu.co.uk/download.html,<a.*?href="([^"]*gpsu.*?setup\.exe)".*?>,5.24
#ImageVis3D,en,x86,http://www.sci.utah.edu/download/imagevis3d,\(Latest Version ([\d\.]*)\),http://www.sci.utah.edu/download/imagevis3d,<a.*?href="([^"]*ImageVis3D-.*-Win32\.exe)".*?>,3.1.0
